2010CensusBG,TotPop,EmploymentMix,EmploymentHHMix,IntersectionDensity,ProximitytoTransit,PopDensity,ResDensity,WalkIndex,MedHV,MedRent,MedRent12,MedIncome,MedYrsLived,MedAge,Percent65,Percentage of Households with a person over 65,Percentage of Elderly Population: Female,Percentage of Elderly Population below poverty line,Percentage of Elderly Population living with family,Percentage of Elderly Population not working in the past year
530330001001,1386,0.526355306,0.277478955,49.26173551,814.06,6.39214,2.836339,9.833333333,703400,1828,21936,52107,17,51.4,0.270562771,41.43%,0.490666667,0,0.76,0.682666667
530330001002,1615,0.854436185,0.580877653,110.8581113,268.22,22.678842,11.880062,16.5,373500,1303,15636,27061,5,34.6,0.222636816,43.18%,0.386740331,0.041899441,0.406077348,0.718232044
530330001003,1579,0.478454276,0.493864653,116.4809885,289.68,17.717899,8.774792,14,436700,425,5100,40203,7,42.2,0.101329956,13.30%,0.775,0.4,0.8125,0.8125
530330001004,2277,0.738111706,0.09912462,88.64413146,162.28,75.060375,37.942245,13.66666667,NA,1192,14304,34741,5,29.5,0.058410189,11.42%,0.390977444,0.248120301,0.315789474,0.511278195
530330001005,1128,0.763412336,0.770179465,247.2573135,142.16,19.803282,12.956402,19.33333333,579300,1417,17004,41094,5,31.7,0.171985816,20.55%,0.670103093,0.010309278,0.417525773,0.835051546
530330002001,1176,0.363715116,0.417808076,146.7339382,333.94,11.552987,5.118288,13.5,433800,1535,18420,39219,8,44.1,0.176870748,25.89%,0.442307692,0,1,0.557692308
530330002002,1146,0.804337659,0.632149076,134.346927,352.71,9.190236,4.378594,16.83333333,445700,1648,19776,37316,7,39.8,0.191099476,34.00%,0.689497717,0.205479452,0.716894977,0.794520548
530330002003,2124,0.645553842,0.262159736,51.57605616,724.2,25.837635,11.726686,10.83333333,427200,1455,17460,36998,7,36.2,0.124822022,24.75%,0.760456274,0.064638783,0.608365019,0.688212928
530330002004,1011,0.483435949,0.565075778,206.0307151,317.85,10.844828,5.760309,15.33333333,419800,1254,15048,41250,7,47.1,0.203592814,38.05%,0.600938967,0.014705882,0.436619718,0.647887324
530330002005,1797,0.605373815,0.225782277,89.91752505,335.28,16.11838,7.175684,12.5,389300,1690,20280,38333,7,32.4,0.170840289,28.75%,0.74267101,0.159609121,0.504885993,0.859934853
530330002006,1244,0.441562759,0.441943735,136.7653865,529.74,9.843654,3.964365,13.16666667,390700,1858,22296,50382,17,48.1,0.13585209,20.76%,0.426035503,0,0.426035503,0.615384615
530330003001,1314,0.188643342,0.67413015,102.9660208,348.69,6.74501,2.407466,13.16666667,458700,2111,25332,40292,13,36.1,0.124809741,25.93%,0.682926829,0.006097561,0.597560976,0.695121951
530330003002,1677,0.718661388,0.710427901,179.7900654,307.12,16.05843,7.363705,17.66666667,433200,1233,14796,45493,10,34.6,0.075494308,14.14%,0.578947368,0.293650794,0.511278195,0.804511278
530330004011,3261,0.704526543,0.551822364,210.3485499,426.48,22.014369,14.824764,16.33333333,371100,1078,12936,30618,5,45.9,0.24317694,34.39%,0.699873897,0.064312736,0.399747793,0.856242119
530330004012,1873,0.502276684,0.450875676,144.3015164,260.18,18.626005,8.055026,14.5,362600,1465,17580,39811,7,36.9,0.074416078,15.03%,0.842105263,0,0.605263158,0.782894737
530330004013,1426,0.574264359,0.228806336,230.3731246,469.39,24.629551,18.359896,14.33333333,304200,508,6096,29643,7,60.2,0.375175316,49.20%,0.846728972,0.46728972,0.119626168,0.828037383
530330004021,1121,0.300985318,0.548350278,145.0877553,101.93,14.11678,6.737268,15,472400,1168,14016,26111,7,45.8,0.25105042,37.01%,0.615384615,0.033472803,0.215880893,0.8808933
530330004022,835,0.677403154,0.847618753,176.086951,473.42,4.503263,2.604881,17.33333333,382200,1191,14292,42576,16,46.6,0.125748503,18.43%,0.619047619,0.00952381,0.714285714,1
530330004023,1215,0.421181414,0.153289088,123.0667818,0,15.236376,7.71224,13.33333333,391200,1302,15624,43542,6,30.7,0.124279835,21.95%,0.80794702,0.258278146,0.19205298,0.748344371
530330004024,2248,0.365515376,0.52191877,143.0240322,166.3,22.539116,8.622615,14.66666667,591200,1386,16632,42647,9,49,0.250458716,51.72%,0.659539474,0.027472527,0.396381579,0.934210526
530330005001,1311,0.445684353,0.389373711,58.66032937,419.77,3.549286,1.386144,11,833300,NA,NA,96000,12,54.1,0.260869565,42.35%,0.421052632,0,0.923976608,0.730994152
530330005002,791,0.371639323,0.269383371,115.2647669,250.79,7.913567,3.871745,12.5,710300,NA,NA,70655,14,51.6,0.256637168,40.91%,0.566502463,0.083743842,0.630541872,0.699507389
530330005003,1041,0.32880891,0.196682581,96.8886771,446.59,6.931251,3.395714,11.16666667,791700,1815,21780,74583,14,50.3,0.195004803,33.90%,0.497536946,0.201970443,0.640394089,0.512315271
530330006001,1180,0.716322761,0.865485796,155.3074475,0,5.403015,2.101681,18.66666667,455600,NA,NA,37208,14,52.6,0.286440678,46.19%,0.50295858,0.088757396,0.828402367,0.730769231
530330006002,1378,0.582478622,0.317657004,97.74306115,340.64,23.020615,11.877836,13,523400,1210,14520,41625,6,37.8,0.198838897,36.91%,0.748175182,0,0.109489051,0.806569343
530330006003,1567,0.658408546,0.852546708,100.4100405,155.57,8.283279,3.726682,17,411700,1407,16884,31653,6,32.2,0.141033823,21.95%,0.452488688,0.194570136,0.764705882,0.78280543
530330006004,1665,0.299435477,0.46766123,162.1974191,223.97,6.91522,2.936373,14.5,476100,1434,17208,32583,11,35.9,0.08048048,14.71%,0.552238806,0,0.791044776,0.776119403
530330006005,1160,0.336600822,0.322393294,87.47932768,972.31,9.800255,3.523023,10.16666667,591500,2003,24036,38694,8,43.4,0.101724138,10.07%,0.644067797,0,0.889830508,0.881355932
530330006006,1174,0.630278827,0.573007764,132.6807427,332.6,14.31347,7.790722,15.5,578000,1336,16032,50927,5,32.9,0.067299396,11.69%,0.903225806,0.487179487,0.35483871,1
530330007001,1802,0.790736483,0.657829074,162.633815,285.66,35.337997,18.276922,17.66666667,233700,1310,15720,30105,5,36.1,0.135405105,22.49%,0.56557377,0.102459016,0.594262295,0.573770492
530330007002,1405,0.642777205,0.679702668,148.2064106,36.21,13.636596,5.425521,17.16666667,478200,1316,15792,40134,7,33.7,0.067577283,15.38%,0.659574468,0.053191489,0.468085106,0.829787234
530330007003,1365,0.437963501,0.487937885,97.98987855,379.54,16.939053,6.179962,13,439100,1909,22908,52868,6,41,0.123076923,26.92%,0.291666667,0.178571429,0.928571429,0.839285714
530330007004,645,0.535881328,0.519261283,146.362308,514.99,8.077954,5.184919,14,542800,1567,18804,55595,11,43.4,0.178294574,35.71%,0.739130435,0.12173913,0.269565217,1
530330008001,1248,0.649042686,0.17304786,109.8355556,335.28,10.574217,4.397451,13.16666667,472400,1793,21516,54607,16,49.1,0.239095315,34.10%,0.533783784,0.033783784,0.716216216,0.733108108
530330008002,1462,0.452180827,0.179246195,100.3201731,430.5,9.04802,3.849431,11.5,555800,1838,22056,44850,16,52.5,0.186704385,24.29%,0.476821192,0.060606061,0.794701987,0.582781457
530330009001,1034,0.53516546,0.329243975,89.22848637,650.44,8.038207,3.949139,11.5,734200,2175,26100,75114,13,49,0.225933202,34.20%,0.554621849,0.013043478,0.701680672,0.68487395
530330009002,975,0.562203447,0.302531526,113.7789074,364.78,8.762237,3.95424,13.16666667,1013000,NA,NA,76188,15,53.1,0.208205128,32.50%,0.527093596,0.049261084,0.645320197,0.679802956
530330010001,1033,0.632541089,0.645715798,74.43979795,372.83,11.26059,4.087823,14.33333333,490200,1342,16104,29191,9,33.8,0.123910939,21.31%,0.4140625,0.1328125,0.5,0.875
530330010002,1022,0.594687162,0.582962414,109.5846138,634.35,8.727103,3.59502,13.66666667,617600,1537,18444,62750,11,41.9,0.11741683,19.11%,0.658333333,0.191666667,0.625,0.85
530330011001,1434,0.652645716,0.579450505,95.74714081,199.83,11.490195,4.463068,15.5,514000,1772,21264,41385,9,38.9,0.163877266,28.40%,0.480851064,0,0.740425532,0.617021277
530330011002,1318,0.776791682,0.483153355,125.9509645,488.17,11.130678,4.492808,15.33333333,546300,1539,18468,54479,13,40.9,0.128224583,23.87%,0.278106509,0.130177515,0.479289941,0.692307692
530330012001,1218,0.72658812,0.753883592,134.6524608,378.2,10.111737,3.835487,17,551000,2431,29172,51801,15,42.7,0.183908046,33.77%,0.535714286,0.205357143,0.723214286,0.401785714
530330012002,669,0.683528303,0.67201344,302.346186,261.52,13.254362,8.638119,17.66666667,615400,1169,14028,52898,7,34.8,0.119581465,20.10%,0.725,0,0.275,1
530330012003,2201,0.732904513,0.708243569,244.8310179,201.17,36.915334,22.977741,18.5,195200,1325,15900,38203,4,34.8,0.189213894,30.34%,0.838407494,0.154589372,0.117096019,0.861826698
530330012004,1716,0.519911817,0.721583543,299.0441589,325.89,14.78221,6.193712,16.66666667,247100,1345,16140,29800,5,32.1,0.162587413,25.45%,0.637992832,0.082437276,0.41218638,1
530330012005,1320,0.708760617,0.705837271,72.07294625,319.19,14.857616,11.008143,15,239600,1323,15876,31667,4,30.5,0.109848485,15.10%,0.682758621,0.137931034,0.634482759,0.806896552
530330013001,1653,0.813011527,0.520739104,186.1682222,295.05,14.921795,7.880657,17.33333333,592600,1315,15780,51469,7,37.9,0.200247219,37.94%,0.608024691,0.330246914,0.231481481,0.919753086
530330013002,1368,0.730862557,0.370523612,144.6196268,38.89,22.615001,13.010238,16.33333333,389700,1070,12840,44962,7,39.9,0.139619883,17.15%,0.502617801,0.010471204,0.654450262,0.528795812
530330013003,1681,0.643177926,0.770950243,227.1074753,282.98,15.693141,7.580506,17.83333333,525700,1323,15876,41583,4,32.7,0.058298632,9.73%,0.836734694,0.142857143,0.704081633,0.846938776
